rows=795
cols=1302
(0, 2324, -222)
(0, 1580, -752)
(0, 1799, -1011)
(0, 1565, -943)
(0, 2277, -904)
(0, 3303, -582)
(0, 2117, -275)
(0, 1135, 622)
(0, 4386, 1)
(0, 663, -645)
(0, 2208, -932)
(0, 2101, -481)
(0, 115, -273)
(0, 844, 305)
(0, 536, 721)
(0, 4602, -888)
(0, 2339, 29)
(0, 657, -644)
(0, 551, -948)
(0, 2683, 102)
(0, 715, -853)
(0, 1214, 34)
(0, 1499, -690)
(0, 338, 222)
(0, 4716, -538)
(0, 2322, 26)
(0, 1567, 780)
(0, 1919, -763)
(0, 3358, 398)
(0, 2348, 771)
(0, 2191, -413)
(0, 4580, -46)
(0, 4142, -847)
(0, 176, -553)
(1, 335, -584)
(1, 988, -989)
(1, 3984, 105)
(1, 1847, -293)
(1, 3789, 5)
(1, 31, -1018)
(1, 1470, 246)
(1, 2045, -1022)
(1, 3504, -656)
(1, 841, -193)
(1, 108, 544)
(1, 2144, -647)
(1, 697, -446)
(1, 2045, 70)
(1, 665, -85)
(1, 2339, -809)
(1, 794, 597)
(1, 810, -949)
(1, 2915, -531)
(1, 1802, 128)
(1, 1181, 234)
(1, 3222, -926)
(1, 2464, 760)
(1, 2241, -556)
(1, 1793, -781)
(1, 1181, -601)
(1, 919, -59)
(1, 1622, -457)
(1, 453, 962)
(1, 1626, 423)
(1, 723, -100)
(1, 2118, -787)
(1, 4040, -885)
(2, 2712, -873)
(2, 846, 971)
(2, 369, -824)
(2, 3373, -54)
(2, 1585, 774)
(2, 4521, -557)
(2, 450, -937)
(2, 2287, -926)
(2, 1343, -918)
(2, 1078, -742)
(2, 4437, -691)
(2, 765, 544)
(2, 956, -934)
(2, 1935, -546)
(2, 734, -956)
(2, 499, -862)
(2, 1725, -373)
(2, 1999, -1023)
(2, 2332, -811)
(2, 473, 480)
(2, 1564, -535)
(2, 1482, 196)
(2, 325, -738)
(2, 611, -810)
(2, 1234, -739)
(2, 2404, -675)
(2, 1373, -592)
(2, 2451, -74)
(2, 1530, -968)
(2, 1914, 768)
(2, 1974, -544)
(2, 515, -607)
(2, 1460, 391)
(2, 1378, -582)
(2, 3465, -938)
(2, 757, -884)
(2, 1661, 581)
(2, 549, -797)
(2, 1591, -765)
(2, 605, 308)
(2, 1880, 970)
(2, 3072, -767)
(2, 950, -531)
(2, 1383, -928)
(2, 2161, -955)
(2, 4284, -722)
(2, 2105, -855)
(2, 3825, -962)
(2, 2224, -912)
(2, 701, -135)
(2, 2233, -606)
(2, 3353, -607)
(2, 3463, 323)
(2, 658, 943)
(2, 2673, -809)
(2, 3166, 952)
(2, 1503, 478)
(2, 1025, -585)
(2, 1899, 296)
(2, 1737, 743)
(2, 1938, 491)
(2, 78, 266)
(3, 1825, -984)
(3, 4720, -944)
(3, 90, -923)
(3, 1961, -596)
(3, 363, 1020)
(3, 1825, -418)
(3, 825, -879)
(3, 1634, -810)
(3, 1501, -990)
(3, 401, -832)
(3, 1340, -713)
(3, 2083, 704)
(3, 4064, -671)
(3, 2178, 1008)
(3, 4513, 693)
(3, 1727, 579)
(3, 2085, -811)
(3, 1109, 28)
(3, 292, 673)
(3, 1677, -924)
(3, 4484, -613)
(3, 1805, 930)
(3, 2275, 340)
(3, 1091, -898)
(3, 1618, -672)
(3, 1805, -672)
(3, 675, -576)
(3, 987, -634)
(3, 2199, -929)
(3, 5, -941)
(3, 4285, -990)
(3, 540, -981)
(3, 2086, 575)
(3, 1289, -530)
(3, 4297, -675)
(3, 1275, -833)
(3, 1718, -423)
(3, 4582, -971)
(3, 793, -923)
(3, 4602, -1002)
(3, 2040, -218)
(3, 2228, 137)
(3, 2226, -957)
(3, 827, -837)
(3, 1829, -386)
(3, 1824, 893)
(3, 2731, 79)
(3, 1837, -257)
(3, 1632, 369)
(3, 3947, -839)
(3, 1671, -815)
(3, 123, -776)
(3, 1068, -569)
(3, 4230, 345)
(3, 2075, -971)
(3, 1362, -596)
(3, 3099, -998)
(3, 2115, -699)
(3, 606, -537)
(3, 1702, 260)
(3, 1346, -546)
(3, 57, -518)
(3, 489, 150)
(3, 4589, -812)
(3, 1457, -1001)
(3, 627, -715)
(3, 387, 697)
(3, 285, 650)
(3, 2036, -322)
(3, 2173, 648)
(3, 4295, -1002)
(3, 1323, -980)
(3, 2847, -580)
(4, 2347, -41)
(4, 579, -260)
(4, 2621, -208)
(4, 2136, -813)
(4, 2384, -457)
(4, 2104, 170)
(4, 752, -690)
(4, 159, -782)
(4, 699, -308)
(4, 616, -629)
(4, 778, -976)
(4, 4131, -516)
(4, 25, -645)
(4, 4475, -684)
(4, 467, -793)
(4, 3836, -841)
(4, 1137, -942)
(4, 4110, -642)
(4, 1151, 792)
(4, 3328, 542)
(4, 1966, -21)
(4, 1286, -983)
(4, 14, -840)
(4, 4682, -665)
(4, 22, 990)
(4, 1132, 529)
(4, 1324, 602)
(4, 495, -575)
(4, 1229, -813)
(4, 403, -715)
(4, 2034, -724)
(4, 2099, -673)
(4, 296, 709)
(4, 1468, -597)
(4, 2083, -699)
(4, 4156, -772)
(4, 4105, -391)
(4, 2529, 129)
(4, 212, -573)
(4, 4375, 868)
(4, 3244, -183)
(4, 785, -245)
(4, 2282, -979)
(4, 8, 847)
(4, 964, -622)
(4, 651, -879)
(4, 3345, 1013)
(4, 3978, 398)
(4, 1233, -723)
(4, 1937, -863)
(4, 89, -911)
(4, 689, -955)
(4, 4228, 863)
(4, 58, -982)
(4, 1924, -895)
(4, 3087, -861)
(4, 96, 378)
(4, 825, 34)
(4, 3749, -874)
(4, 3890, -954)
(4, 1000, 527)
(4, 4196, 268)
(4, 709, -604)
(4, 3357, 712)
(4, 306, 730)
(4, 2980, 73)
(4, 1174, -826)
(4, 857, -870)
(4, 1420, 491)
(4, 4283, -981)
(4, 818, -762)
(4, 2054, 155)
(4, 1177, -579)
(4, 648, -445)
(5, 3623, 92)
(5, 4576, -919)
(5, 3356, 126)
(5, 1886, -674)
(5, 546, 841)
(5, 4747, -723)
(5, 343, 428)
(5, 4343, -498)
(5, 4706, -912)
(5, 325, 489)
(5, 1885, -179)
(5, 25, -555)
(5, 128, -453)
(5, 1348, -887)
(5, 4272, 500)
(5, 1438, -776)
(5, 3870, -659)
(5, 2191, -791)
(5, 1701, -772)
(5, 276, -801)
(5, 1331, -352)
(5, 2010, -674)
(5, 1941, -870)
